"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"284","Call hurts #Cubs
Ball 1 should be strike 2
Top 4 Lackey vs McCarthy
14% call same
2.4in from edge https://t.co/NBucqR2Wzs",FALSE,2,NA,2017-04-13 01:25:13,FALSE,NA,"852331809660653568",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lackey vs McCart","Lackey","hurts"
"285","Call helps #Cubs
Ball 1 should be strike 2
Bot 3 McCarthy vs Lackey
14% call same
2.9in from edge https://t.co/OEdElKLgRm",FALSE,4,NA,2017-04-13 01:11:49,FALSE,NA,"852328437356400640",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","McCarthy vs Lack","McCarthy","helps"
"286","Call hurts #Cubs
Ball 2 should be strike 3
Top 3 Lackey vs Grandal
14% call same
2.9in from edge https://t.co/AZCjdGrJpP",FALSE,5,NA,2017-04-13 01:05:07,FALSE,NA,"852326748830171140",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",5,FALSE,FALSE,NA,NA,"2017","Lackey vs Granda","Lackey","hurts"
"287","Call helps #Cubs
Ball 2 should be strike 3
Bot 2 McCarthy vs Zobrist
32% call same
1.1in from edge https://t.co/taGt3oBBf1",FALSE,0,NA,2017-04-13 00:56:42,FALSE,NA,"852324633063903232",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","McCarthy vs Zobr","McCarthy","helps"
"288","Call helps #Cubs
Ball 1 should be strike 2
Bot 1 McCarthy vs Bryant
22% call same
1.6in from edge https://t.co/fciHsrLeAf",FALSE,2,NA,2017-04-13 00:37:00,FALSE,NA,"852319675736371200",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","McCarthy vs Brya","McCarthy","helps"
"289","Call hurts #Cubs
Ball 3 should be strike 3
Top 3 Lester vs Pederson
22% call same
1.6in from edge https://t.co/tA9MFQuCxE",FALSE,4,NA,2017-04-11 02:37:24,FALSE,NA,"851625199132971009",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Lester vs Peders","Lester","hurts"
"290","Call helps #Cubs
Strike 2 should be ball 2
Top 2 Lester vs Gonzalez
6% call same
3.9in from edge https://t.co/SShL4Edn1l",FALSE,1,NA,2017-04-11 02:25:38,FALSE,NA,"851622239577546753",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Gonzal","Lester","helps"
"291","Call hurts #Cubs
Strike 1 should be ball 1
Bot 1 Wood vs Schwarber
24% call same
1.6in from edge https://t.co/hcR6eTQZkx",FALSE,2,NA,2017-04-11 02:11:05,FALSE,NA,"851618576788320256",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Wood vs Schwarbe","Wood","hurts"
"292","Call hurts #Cubs
Ball 3 should be strike 3
Top 1 Lester vs Seager
16% call same
2.9in from edge https://t.co/9BDUbn7WGp",FALSE,9,NA,2017-04-11 02:05:57,FALSE,NA,"851617283533414400",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",6,FALSE,FALSE,NA,NA,"2017","Lester vs Seager","Lester","hurts"
"293","Call helps #Cubs
Strike 3 should be ball 3
Top 1 Lester vs Forsythe
30% call same
1.1in from edge https://t.co/sPoBmHK3sr",FALSE,6,NA,2017-04-11 02:03:39,FALSE,NA,"851616705700933632",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Forsyt","Lester","helps"
